Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(y|x) 1:144 loss=   2.060039520, acc=   0.140625000
P(x) | 1:52 f(x_p_d)=   6.875569344 f(x_q)=   6.250607014 d=   0.624962330
P(y|x) 1:145 loss=   2.060642004, acc=   0.140625000
P(x) | 1:53 f(x_p_d)=   6.577809334 f(x_q)=   6.331645012 d=   0.246164322
P(y|x) 1:146 loss=   2.052219868, acc=   0.101562500
P(x) | 1:54 f(x_p_d)=   6.618874073 f(x_q)=   6.447215080 d=   0.171658993
P(y|x) 1:147 loss=   2.037158251, acc=   0.164062500
P(x) | 1:55 f(x_p_d)=   6.790152550 f(x_q)=   5.971644402 d=   0.818508148
P(y|x) 1:148 loss=   2.026028633, acc=   0.132812500
P(x) | 1:56 f(x_p_d)=   6.543158054 f(x_q)=   5.771286011 d=   0.771872044
P(y|x) 1:149 loss=   2.024369478, acc=   0.171875000
P(x) | 1:57 f(x_p_d)=   6.539555073 f(x_q)=   5.967189312 d=   0.572365761
P(y|x) 1:150 loss=   2.030985594, acc=   0.101562500
P(x) | 1:58 f(x_p_d)=   6.316880226 f(x_q)=   5.614234924 d=   0.702645302
P(y|x) 1:151 loss=   2.039045095, acc=   0.132812500
P(x) | 1:59 f(x_p_d)=   6.384452820 f(x_q)=   6.247652054 d=   0.136800766
P(y|x) 1:152 loss=   2.044787645, acc=   0.101562500
P(x) | 1:60 f(x_p_d)=   6.397406578 f(x_q)=   5.553101063 d=   0.844305515
P(y|x) 1:153 loss=   1.982598782, acc=   0.171875000
P(x) | 1:61 f(x_p_d)=   6.489259243 f(x_q)=   5.611774445 d=   0.877484798
P(y|x) 1:154 loss=   2.073329210, acc=   0.117187500
P(x) | 1:62 f(x_p_d)=   6.338788509 f(x_q)=   5.736811638 d=   0.601976871
P(y|x) 1:155 loss=   2.008676529, acc=   0.148437500
P(x) | 1:63 f(x_p_d)=   6.379555702 f(x_q)=   5.570464134 d=   0.809091568
P(y|x) 1:156 loss=   2.013710737, acc=   0.148437500
P(x) | 1:64 f(x_p_d)=   6.430176735 f(x_q)=   5.374036789 d=   1.056139946
P(y|x) 1:157 loss=   2.063749075, acc=   0.101562500
P(x) | 1:65 f(x_p_d)=   6.564499378 f(x_q)=   5.825447083 d=   0.739052296
P(y|x) 1:158 loss=   2.059570312, acc=   0.085937500
P(x) | 1:66 f(x_p_d)=   6.476359367 f(x_q)=   5.716732025 d=   0.759627342
P(y|x) 1:159 loss=   2.041625977, acc=   0.140625000
P(x) | 1:67 f(x_p_d)=   6.455590248 f(x_q)=   5.868406773 d=   0.587183475
P(y|x) 1:160 loss=   2.008572102, acc=   0.132812500
P(x) | 1:68 f(x_p_d)=   6.797652245 f(x_q)=   5.587155819 d=   1.210496426
